Category,Product Name,Price,Stock Status,Weight,Image URL
Sports & Outdoors,Sports & Outdoors Product 38,$128.88,Out of stock,1.46,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sports1.jpg
Beauty & Health,Beauty & Health Product 73,$42.89,In stock,1.59,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/beauty1.jpg
Groceries,Groceries Product 14,$184.78,Out of stock,3.21,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/groceries1.jpg
Sports & Outdoors,Sports & Outdoors Product 22,$197.83,Out of stock,2.49,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sportsoutdoors1.jpg
Groceries,Groceries Product 41,$59.98,Out of stock,2.33,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/groceries2.jpg
Sports & Outdoors,Sports & Outdoors Product 14,$210.00,In stock,4.7,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sportsoutdoors2.jpg
Sports & Outdoors,Sports & Outdoors Product 48,$199.99,Out of stock,4.75,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sportsoutdoors3.jpg
Electronics,Electronics Product 1,$179.00,Out of stock,4.82,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/electronics1.jpg
Beauty & Health,Beauty & Health Product 49,$18.39,Out of stock,1.46,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/beautyhealth2.jpg
Beauty & Health,Beauty & Health Product 15,$42.99,Out of stock,1.52,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/beautyhealth3.jpg
Groceries,Groceries Product 99,$185.98,Out of stock,2.28,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/groceries3.jpg
Beauty & Health,Beauty & Health Product 58,45.00,Out of stock,1.66,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/beautyhealth4.jpg
Electronics,Electronics Product 3,$89.00,In stock,1.89,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/electronics2.jpg
Groceries,Groceries Product 63,$65.48,Out of stock,4.16,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/groceries4.jpg
Electronics,Electronics Product 40,$29.00,Out of stock,3.45,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/electronics3.jpg
Electronics,Electronics Product 93,$179.00,Out of stock,3.34,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/electronics4.jpg
Sports & Outdoors,Sports & Outdoors Product 39,$14.99,Out of stock,2.22,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sportsoutdoors4.jpg
Groceries,Groceries Product 6,$98.00,Out of stock,1.66,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/groceries5.jpg
Sports & Outdoors,Sports & Outdoors Product 36,$297.00,Out of stock,2.22,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/sportsoutdoors5.jpg
Beauty & Health,Beauty & Health Product 71,$39.00,Out of stock,4.75,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/beautyhealth5.jpg
Sports & Outdoors,Girls Bike Product 01,$120.00,In stock,4.5,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/girls_bike_1_1.jpg
Sports & Outdoors,Girls Bike Product 02,$130.00,In stock,4.6,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/girls_bike_1_2.jpg
Sports & Outdoors,Girls Bike Product 03,$115.00,In stock,4.4,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/girls_bike_2.jpg
Sports & Outdoors,Girls Bike Product 04,$125.00,In stock,4.7,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/girls_bike_3.jpg
Sports & Outdoors,Boy Bike Product 05,$140.00,In stock,4.8,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/boys_bike_1.jpg
Sports & Outdoors,Strider Bike Product 06,$90.00,In stock,4.3,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/strider_1.jpg
Sports & Outdoors,Bicycle Product 07,$200.00,Out of stock,4.9,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/Tri_bike_1.jpg
Sports & Outdoors,Bicycle Product 08,$210.00,In stock,4.85,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/Tri_bike_2.jpg
Sports & Outdoors,Basketball Product 09,$30.00,In stock,4.5,https://raw.githubusercontent.com/Lily-QianWang/MBAN6120-Group-Project/main/basketball.jpg
